sample_id,theta_ej_0,nu_theta_ej_M,nu_theta_ej_z,mu_beta
0,1.224875,-0.11353397,-1.0125467,0.807502
1,2.233103,-0.23488896,1.9410455,0.22942398
2,1.9199401,-0.052769296,1.5974089,0.9911563
3,1.6300217,-0.22412474,-1.2725748,0.8438746
4,5.4987655,-0.09954062,1.2626585,0.3402588
5,3.746311,-0.18742295,-1.1011972,0.6772025
6,2.057181,-0.1577108,0.19122614,0.42736673
7,2.9253805,-0.15656812,-1.8690437,0.6859203
8,1.4146751,-0.12887694,-0.10822598,0.5883765
9,2.2018342,-0.24239682,-1.8589712,1.033137
10,2.839093,-0.17065498,-1.7745347,0.6759739
11,4.100513,-0.06862906,-1.366453,0.40746862
12,2.4444575,-0.16011275,-1.3704208,0.36201102
13,4.431779,-0.13854818,-1.9781162,1.0810475
14,1.0683845,-0.15932961,0.4605407,0.6050855
15,3.174567,-0.0837559,-1.0819504,0.6672975
16,3.5173106,-0.09632858,-1.700542,0.80103683
17,3.823002,-0.07194258,-0.9884546,0.13932672
18,4.055167,-0.05868582,-1.6827931,1.0698669
19,3.652052,-0.042459954,-1.3603005,1.2703841
20,1.302268,-0.052507814,0.9124303,1.3827521
21,4.285926,-0.017221252,-1.1024091,0.43932047
22,3.10969,-0.10595084,-1.6766176,0.99647534
23,4.2840905,-0.020004293,-1.2397063,0.74312425
24,1.2736287,-0.165041,0.60047626,0.51816314
25,1.038429,-0.16910863,0.4662142,0.45376655
26,2.8627465,-0.13166754,-1.1729112,0.3637037
27,3.3074245,-0.062936954,-0.8926154,0.8541812
28,2.9499402,-0.071820274,-1.1424589,0.97955966
29,1.7262335,-0.11801525,0.36393192,0.48950186
