sample_id,theta_ej_0,nu_theta_ej_M,nu_theta_ej_z,mu_beta
0,1.8541114,-0.07262187,1.0680813,0.15907432
1,1.7525716,-0.14961992,-1.6172798,0.5587747
2,1.6341398,-0.17124338,-2.6692379,0.3068891
3,4.221943,-0.054234743,-1.9231048,1.2595241
4,3.821285,-0.021769328,0.56231797,0.902009
5,2.5825357,-0.045881227,-2.532756,0.69227016
6,3.405594,-0.018845199,-1.9261105,0.17454647
7,2.7744985,-0.1045531,-1.5014646,1.3305614
8,3.6177971,-0.08360275,-2.4330325,0.8121468
9,3.8578877,-0.029518755,-1.3817178,1.3636537
10,4.4500666,-0.1407389,-1.0807563,0.41994745
11,2.098451,-0.105991416,1.6760187,1.1023544
12,5.4380198,-0.020431887,1.3226916,1.1924044
13,2.133039,-0.24763851,-2.5185838,0.46197993
14,3.7849848,-0.09872029,-1.2869895,0.58716685
15,4.6399,-0.20169923,-0.989051,0.654093
16,3.090449,-0.022383422,1.0716373,0.6756841
17,3.1097414,-0.1038429,-1.9293965,1.1576475
18,3.0293467,-0.18977848,-1.9470488,1.0939795
19,1.2007384,-0.09642747,0.16299859,0.91871214
