sample_id,theta_ej_0,nu_theta_ej_M,nu_theta_ej_z,mu_beta
0,2.8170836,-0.07679808,-2.2331896,0.6513963
1,3.820534,-0.04672851,-2.7304606,0.8734756
2,2.5468426,-0.074307844,-1.7736346,0.572713
3,3.2202296,-0.05644501,-2.4410944,0.5335701
4,3.258493,-0.0031978923,-1.3744717,0.52115995
5,1.7565625,-0.17009887,-2.113487,1.0529532
6,2.6405246,-0.108862765,-2.5399318,0.74201506
7,2.2660906,-0.05368272,-1.243283,0.931538
8,2.6689878,-0.12865937,-2.7467554,0.6385993
9,2.4224796,-0.057391975,-1.1152053,0.3941007
10,3.0728955,-0.04434232,-2.070472,0.8667618
11,2.0374668,-0.13446239,-2.023251,0.7878245
12,1.6764095,-0.13905182,-1.6904036,0.80189097
13,3.7617388,-0.02023297,-2.199952,0.92621917
14,2.9014206,-0.053365633,-1.8518872,0.51919204
15,2.5983648,-0.07140758,-1.9891125,0.98221785
16,5.022096,-0.01294665,-2.7918818,1.3017157
17,3.366333,-0.0022826896,-1.7193627,0.9019265
18,2.3847392,-0.16119893,0.27490246,0.9032422
19,2.739023,-0.17981827,-2.0508327,0.6520464
